Date,Open,High,Low,Close,Adj Close,Volume
2019-08-05,197.990005,198.649994,192.580002,193.339996,190.715927,52393000
2019-08-06,196.309998,198.070007,194.039993,197.000000,194.326248,35824800
2019-08-07,195.410004,199.559998,193.820007,199.039993,196.338562,33364400
2019-08-08,200.199997,203.529999,199.389999,203.429993,200.668991,27009500
2019-08-09,201.300003,202.759995,199.289993,200.990005,199.015396,24619700
2019-08-12,199.619995,202.050003,199.149994,200.479996,198.510406,22474900
2019-08-13,201.020004,212.139999,200.479996,208.970001,206.917007,47218500
2019-08-14,203.160004,206.440002,202.589996,202.750000,200.758102,36547400
2019-08-15,203.460007,205.139999,199.669998,201.740005,199.758026,27227400
2019-08-16,204.279999,207.160004,203.839996,206.500000,204.471252,27620400
2019-08-19,210.619995,212.729996,210.029999,210.350006,208.283447,24413600
2019-08-20,210.880005,213.350006,210.320007,210.360001,208.293350,26884300
2019-08-21,212.990005,213.649994,211.600006,212.639999,210.550949,21535400
2019-08-22,213.190002,214.440002,210.750000,212.460007,210.372726,22253700
2019-08-23,209.429993,212.050003,201.000000,202.639999,200.649200,46818000
2019-08-26,205.860001,207.190002,205.059998,206.490005,204.461349,26043600
2019-08-27,207.860001,208.550003,203.529999,204.160004,202.154251,25873300
2019-08-28,204.100006,205.720001,203.320007,205.529999,203.510803,15938800
2019-08-29,208.500000,209.320007,206.660004,209.009995,206.956604,20990500
2019-08-30,210.160004,210.449997,207.199997,208.740005,206.689255,21143400
2019-09-03,206.429993,206.979996,204.220001,205.699997,203.679108,20023000
2019-09-04,208.389999,209.479996,207.320007,209.190002,207.134857,19188100
2019-09-05,212.000000,213.970001,211.509995,213.279999,211.184647,23913700
2019-09-06,214.050003,214.419998,212.509995,213.259995,211.164841,19362300
2019-09-09,214.839996,216.440002,211.070007,214.169998,212.065918,27309400
2019-09-10,213.860001,216.779999,211.710007,216.699997,214.571045,31777900
2019-09-11,218.070007,223.710007,217.729996,223.589996,221.393372,44289600
2019-09-12,224.800003,226.419998,222.860001,223.089996,220.898270,32226700
2019-09-13,220.000000,220.789993,217.020004,218.750000,216.600922,39763300
2019-09-16,217.729996,220.130005,217.559998,219.899994,217.739609,21158100
2019-09-17,219.960007,220.820007,219.119995,220.699997,218.531769,18318700
2019-09-18,221.059998,222.850006,219.440002,222.770004,220.581436,25340000
2019-09-19,222.009995,223.759995,220.369995,220.960007,218.789215,22060600
2019-09-20,221.380005,222.559998,217.470001,217.729996,215.590912,55413100
2019-09-23,218.949997,219.839996,217.649994,218.720001,216.571213,19165500
2019-09-24,221.029999,222.490005,217.190002,217.679993,215.541412,31190800
2019-09-25,218.550003,221.500000,217.139999,221.029999,218.858505,21903400
2019-09-26,220.000000,220.940002,218.830002,219.889999,217.729721,18833500
2019-09-27,220.539993,220.960007,217.279999,218.820007,216.670242,25352000
2019-09-30,220.899994,224.580002,220.789993,223.970001,221.769623,25977400
2019-10-01,225.070007,228.220001,224.199997,224.589996,222.383545,34805800
2019-10-02,223.059998,223.580002,217.929993,218.960007,216.808853,34612300
2019-10-03,218.429993,220.960007,215.130005,220.820007,218.650574,28606500
2019-10-04,225.639999,227.490005,223.889999,227.009995,224.779770,34619700
2019-10-07,226.270004,229.929993,225.839996,227.059998,224.829269,30576500
2019-10-08,225.820007,228.059998,224.330002,224.399994,222.195404,27955000
2019-10-09,227.029999,227.789993,225.639999,227.029999,224.799576,18692600
2019-10-10,227.929993,230.440002,227.300003,230.089996,227.829498,28253400
